Skill,Sources
Precision Machining,Book: Machinery's Handbook; Course: CNC Machining Masterclass (Udemy); Course: Precision Machining (Coursera); Doc: Fanuc Machining Manuals; YouTube: Titans of CNC
Precision Manufacturing,Book: Precision Manufacturing (Dornfeld); Course: Manufacturing Processes (Coursera); Course: Advanced Machining (Udemy); Doc: ISO Precision Standards; YouTube: The Efficient Engineer
Precision Optics,Book: Fabrication Methods for Precision Optics; Course: Optical Engineering (edX); Course: Optics Design (Udemy); Doc: Thorlabs Technical Resource; YouTube: Science Asylum
Predictive Maintenance,Book: Predictive Maintenance of Pumps and Motors; Course: IoT and Predictive Maintenance (Coursera); Course: Predictive Maintenance with Python (Udemy); Doc: IBM Maximo Documentation; YouTube: Reliability Web
Predictive Modeling,Book: Applied Predictive Modeling; Course: Machine Learning Specialization (Coursera); Course: Predictive Analytics with R (Udemy); Doc: Scikit-Learn Predictive Modeling; YouTube: StatQuest
Pressure Regulation,Book: Valve Selection Handbook; Course: Hydraulics and Pneumatics (Udemy); Course: Control Systems (Coursera); Doc: Emerson Pressure Regulation Docs; YouTube: Engineering Mindset
Pressure System Diagnostics,Book: Hydraulic Control Systems; Course: Pneumatics Diagnostics (Udemy); Course: Industrial Troubleshooting (Coursera); Doc: Parker Hannifin Technical Guides; YouTube: LunchBox Sessions
Preventive Maintenance,Book: Maintenance Engineering Handbook; Course: Preventive Maintenance Strategy (Udemy); Course: Asset Management (Coursera); Doc: ISO 55000 Maintenance; YouTube: Reliability Web
Pricing Strategy,Book: The Strategy and Tactics of Pricing; Course: Pricing Strategy Specialization (Coursera); Course: Business Pricing Models (Udemy); Doc: Harvard Business Review Pricing; YouTube: The Futur
Print Quality Control,Book: The Print Quality Guide; Course: Graphic Design Printing (Udemy); Course: Color Management (Coursera); Doc: Pantone Guides; YouTube: The Futur
Prior Art Search,Book: Patent Searching Made Easy; Course: Intellectual Property Specialization (Coursera); Course: Patent Law for Engineers (Udemy); Doc: USPTO Patent Search; YouTube: WIPO Official
Privacy Law Compliance,Book: Data Privacy Law; Course: GDPR Compliance (Coursera); Course: Privacy Professional (CIPP) (Udemy); Doc: IAPP Privacy Library; YouTube: Privacy Kitchen
Probabilistic Modeling,Book: Probabilistic Graphical Models; Course: Probabilistic Graphical Models (Coursera); Course: Bayesian Statistics (Udemy); Doc: PyMC3 Documentation; YouTube: 3Blue1Brown
Problem Solving,Book: Stop Guessing (Nat Greene); Course: Critical Thinking and Problem Solving (Coursera); Course: Effective Problem Solving (Udemy); Doc: McKinsey Problem Solving; YouTube: Productivity Game
Process Control,Book: Process Dynamics and Control; Course: Control Systems Engineering (Coursera); Course: Industrial Process Control (Udemy); Doc: Siemens Process Control Docs; YouTube: RealPars
Process Control (PID),Book: PID Control; Course: PID Controller Tuning (Udemy); Course: Feedback Control (Coursera); Doc: MATLAB PID Tuning Docs; YouTube: Brian Douglas
Process Mapping,Book: Business Process Mapping; Course: Process Mapping and Improvement (Coursera); Course: Lean Process Mapping (Udemy); Doc: Lucidchart Process Mapping; YouTube: Lean Enterprise Institute
Process Optimization,Book: Operations Management: Optimization; Course: Operations Research (Coursera); Course: Lean Six Sigma Process Optimization (Udemy); Doc: Six Sigma Guides; YouTube: Lean Online
Process Simulation,Book: Process Simulation and Control; Course: Aspen HYSYS Simulation (Udemy); Course: Chemical Process Simulation (Coursera); Doc: SimScale Help; YouTube: LearnChemE
Processor Architecture,Book: Computer Architecture (Hennessy/Patterson); Course: Microprocessor Design (Coursera); Course: Computer Architecture (Udemy); Doc: Intel/ARM Manuals; YouTube: Computerphile
Procurement Processes,Book: Procurement and Supply Chain Management; Course: Supply Chain Procurement (Coursera); Course: Strategic Sourcing (Udemy); Doc: Chartered Institute of Procurement (CIPS); YouTube: Supply Chain Now
Product Demonstrations,Book: Demonstrating to Win!; Course: Sales Presentation Skills (Coursera); Course: The Art of the Demo (Udemy); Doc: Gong.io Demo Tips; YouTube: Winning by Design
Product Demos,Book: Great Demo!; Course: Sales Training: Product Demos (Udemy); Course: Sales Strategy (Coursera); Doc: HubSpot Sales Blog; YouTube: SaasTr
Product Development,Book: Product Design and Development; Course: Product Development Specialization (Coursera); Course: Agile Product Development (Udemy); Doc: Product School Content; YouTube: The Futur
Product Discovery,Book: Continuous Discovery Habits; Course: Product Discovery (Coursera); Course: Product Management Foundation (Udemy); Doc: Silicon Valley Product Group; YouTube: Teresa Torres
Product Knowledge,Book: The Product Book; Course: Product Management Specialization (Coursera); Course: Tech for Product Managers (Udemy); Doc: Product Management Insider; YouTube: Product School
Product Lifecycle,Book: Product Lifecycle Management; Course: Product Management Strategy (Coursera); Course: Product Strategy (Udemy); Doc: Investopedia - Product Life Cycle; YouTube: Mind the Product
Product Lifecycle Management (PLM),Book: PLM: Driving the Next Generation of Lean; Course: PLM Fundamentals (Udemy); Course: Operations Management (Coursera); Doc: Siemens Teamcenter Docs; YouTube: Aras PLM
Production Efficiency,Book: The Machine That Changed the World; Course: Operations Excellence (Coursera); Course: Lean Manufacturing (Udemy); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Production Planning,Book: Production Planning and Inventory Control; Course: Supply Chain Planning (Coursera); Course: Master Production Scheduling (Udemy); Doc: APICS Resource Center; YouTube: Logistics of Logistics
Project Coordination,Book: The Project Management Toolkit; Course: Project Management Basics (Coursera); Course: Coordination and Management (Udemy); Doc: PMI Resource Hub; YouTube: Adriana Girdler
Project Feasibility,Book: Feasibility Studies for Projects; Course: Project Appraisal (Coursera); Course: Financial Modeling for Feasibility (Udemy); Doc: Investopedia - Feasibility Study; YouTube: ProjectManager
Project Management,Book: The PMBOK Guide; Course: Google Project Management Professional (Coursera); Course: Project Management Professional (PMP) (Udemy); Doc: Project Management Institute (PMI); YouTube: ProjectManager
Proof of Concept (PoC),Book: Running Lean; Course: Lean Startup (Coursera); Course: Product Prototype and Validation (Udemy); Doc: Y Combinator Library; YouTube: Slidebean
Proposal Writing,Book: The Only Grant-Writing Book You'll Ever Need; Course: Business Proposal Writing (Coursera); Course: Grant Writing for Nonprofits (Udemy); Doc: Proposal Writing Guide; YouTube: HubSpot Academy
Propulsion,Book: Rocket Propulsion Elements; Course: Jet and Rocket Propulsion (Coursera); Course: Aircraft Propulsion (edX); Doc: NASA Glenn Propulsion; YouTube: Scott Manley
Prosthetic Design,Book: Prosthetics and Orthotics; Course: Biomedical Engineering (Coursera); Course: Introduction to Prosthetics (Udemy); Doc: Amputee Coalition Resources; YouTube: Bionics Institute
Prototyping,Book: Prototype to Product; Course: Product Prototyping (Udemy); Course: Design Thinking Specialization (Coursera); Doc: InVision Design Education; YouTube: The Futur
Public Health,Book: Public Health: An Introduction; Course: Foundations of Public Health (Coursera); Course: Epidemiology for Public Health (edX); Doc: World Health Organization (WHO); YouTube: Global Health with Greg Martin
Pulping Technology,Book: Pulp and Paper Chemistry and Chemical Technology; Course: Pulping and Papermaking (TAPPI); Doc: TAPPI Standards; YouTube: FPInnovations; Course: Wood Science and Technology (Udemy)
Pump Systems,Book: Pump Handbook; Course: Pump Systems Optimization (Hydraulic Institute); Doc: HI Standards; YouTube: The Engineering Mindset; Course: Centrifugal Pump Basics (Udemy)
PyTorch/TensorFlow,Book: Deep Learning with PyTorch; Course: TensorFlow Developer Certificate (Coursera); Doc: PyTorch/TF Official Docs; YouTube: Sentdex; Course: PyTorch for Deep Learning (Udemy)
Python,Book: Automate the Boring Stuff with Python; Course: Python for Everybody (Coursera); Doc: Python 3 Documentation; YouTube: Corey Schafer; Course: The Complete Python Bootcamp (Udemy)
Python/R,Book: Python for Data Analysis; Course: Data Science Specialization (R) (Coursera); Doc: CRAN R Documentation; YouTube: StatQuest; Course: Python and R for Data Science (Udemy)
QA Methodologies,Book: The Art of Software Testing; Course: Software Testing Specialization (Coursera); Doc: ISTQB Syllabus; YouTube: The Testing Academy; Course: ISTQB Foundation Level (Udemy)
Quality Assurance,Book: Quality Assurance: A Guide to Best Practices; Course: Software Testing Fundamentals (Coursera); Doc: IEEE 730-2014; YouTube: Naveen AutomationLabs; Course: Quality Management Basics (Udemy)
Quality Auditing,Book: The Quality Audit Handbook; Course: Certified Quality Auditor (CQA) Training (ASQ); Doc: ISO 19011:2018; YouTube: Quality Gurus; Course: Internal Auditor Training (Udemy)
Quality Control,Book: Quality Control for Dummies; Course: Six Sigma Green Belt (Coursera); Doc: ASTM Quality Standards; YouTube: Gemba Academy; Course: Statistical Process Control (Udemy)
Quality Management Systems (QMS),Book: ISO 9001:2015 Handbook; Course: QMS Implementation (Udemy); Doc: ISO Official QMS Standards; YouTube: Quality Systems Channel; Course: Foundations of QMS (Coursera)
Query Optimization,Book: SQL Performance Explained; Course: Database Management Essentials (Coursera); Doc: PostgreSQL/MySQL Performance Tuning; YouTube: Hussein Nasser; Course: Advanced SQL Optimization (Udemy)
RESTful API Integration,Book: RESTful Web APIs; Course: APIs and Web Services (Coursera); Doc: Postman API Integration Guide; YouTube: Traversy Media; Course: REST API Design and Implementation (Udemy)
RF Engineering,Book: RF Microelectronics; Course: Radio Frequency Engineering (edX); Doc: Keysight RF Fundamentals; YouTube: The Engineering Mindset; Course: Microwave Engineering (Udemy)
ROS (Robot Operating System),Book: Programming Robots with ROS; Course: ROS for Beginners (Udemy); Doc: ROS Wiki; YouTube: The Construct; Course: Robot Operating System (edX)
RTOS,Book: Real-Time Embedded Systems; Course: Introduction to RTOS (Udemy); Doc: FreeRTOS Documentation; YouTube: Low Level Learning; Course: Real-Time Operating Systems (Coursera)
Rack Management,Book: Data Center Handbook; Course: Data Center Infrastructure Management (Udemy); Doc: EIA-310 Specifications; YouTube: APC by Schneider Electric; Course: IT Infrastructure Support (Coursera)
Radiation Shielding,Book: Introduction to Health Physics; Course: Nuclear Engineering (Coursera); Doc: IAEA Radiation Safety Standards; YouTube: Radiation Safety Channel; Course: Radiation Protection (edX)
Railway Signaling,Book: Modern Railway Signaling; Course: Railway Engineering (edX); Doc: AREMA Signal Manual; YouTube: Railways Explained; Course: Introduction to Railway Signaling (Udemy)
React/Angular,Book: Learning React; Course: Modern React with Redux (Udemy); Doc: React.dev / Angular.io; YouTube: The Net Ninja; Course: Front-End Development (Coursera)
Reactive Maintenance,Book: Maintenance Engineering Handbook; Course: Reactive vs Proactive Maintenance (Udemy); Doc: ISO 55000 Maintenance Standards; YouTube: Reliability Web; Course: Asset Management (Coursera)
Reactor Operation,Book: Nuclear Reactor Analysis; Course: Nuclear Energy (Coursera); Doc: NRC Reactor Concepts; YouTube: Illinois Energy Prof; Course: Power Plant Engineering (Udemy)
Real Estate Law,Book: Real Estate Law (Jennings); Course: Real Estate Specialization (Coursera); Doc: NAR Legal Resources; YouTube: The Real Estate Lawyer; Course: Real Estate Finance and Law (Udemy)
Record-Keeping,Book: Records Management (Read & Ginn); Course: Document Control (Udemy); Doc: ISO 15489-1; YouTube: ARMA International; Course: Information Management (Coursera)
Recycling Tech,Book: The Recycling Handbook; Course: Circular Economy and Recycling (edX); Doc: EPA Recycling Basics; YouTube: Sustainability Illustrated; Course: Waste Management and Recycling (Udemy)
Refrigerant Handling,Book: Modern Refrigeration and Air Conditioning; Course: EPA 608 Certification Prep (Udemy); Doc: EPA Section 608 Regulations; YouTube: HVAC School; Course: HVAC Basics (Coursera)
Refrigeration Cycles,Book: Thermodynamics: An Engineering Approach; Course: Introduction to Thermodynamics (Coursera); Doc: ASHRAE Refrigeration Handbook; YouTube: The Engineering Mindset; Course: Refrigeration Systems (Udemy)
Refrigeration Support,Book: Commercial Refrigeration for Technicians; Course: HVAC Repair and Support (Udemy); Doc: Emerson Climate Technologies Support; YouTube: AC Service Tech LLC; Course: Facility Management (Coursera)
Regression Testing,Book: Software Testing: A Craftsman's Approach; Course: Regression Testing Basics (Udemy); Doc: ISTQB Glossary; YouTube: Testing Academy; Course: Continuous Testing (Coursera)
Regulatory Compliance,Book: Compliance Management: A How-to Guide; Course: Healthcare Compliance (Coursera); Doc: ISO 37301 Compliance Management; YouTube: Compliance Week; Course: Legal and Regulatory Compliance (Udemy)
Regulatory Paperwork,Book: Regulatory Affairs for Biomaterials; Course: Technical Writing for Regulations (Udemy); Doc: FDA Guidance Documents; YouTube: RAPS Official; Course: Medical Device Regulations (Coursera)
Regulatory Research,Book: Legal Research in a Nutshell; Course: Government Policy and Regulation (Coursera); Doc: Federal Register (USA); YouTube: LawShelf; Course: Regulatory Research Methods (Udemy)
Reliability Engineering,Book: Practical Reliability Engineering; Course: Reliability Engineering (Coursera); Doc: IEEE Reliability Society; YouTube: Reliability Web; Course: Probability and Statistics for Reliability (Udemy)
Reliability Maintenance (RCM),Book: Reliability-Centered Maintenance (Moubray); Course: RCM Practitioner (Udemy); Doc: SAE JA1011 Standard; YouTube: Gemba Academy; Course: Maintenance Management (Coursera)
Reliability Testing,Book: Reliability Testing: A Guide for Engineers; Course: Product Reliability Testing (Udemy); Doc: MIL-STD-810; YouTube: Engineering Explained; Course: Quality and Reliability (Coursera)
Remediation,Book: Soil and Groundwater Remediation; Course: Environmental Remediation (edX); Doc: EPA Superfund Remediation; YouTube: Environment Agency; Course: Brownfield Redevelopment (Udemy)
Renewable Energy Strategy,Book: Renewable Energy: Power for a Sustainable Future; Course: Renewable Energy Strategy (Coursera); Doc: IRENA Innovation Landscapes; YouTube: Real Engineering; Course: Energy Transition (Udemy)
Renewable Strategy,Book: The Clean Tech Revolution; Course: Renewable Energy Specialization (Coursera); Doc: IEA World Energy Outlook; YouTube: Engineering Mindset; Course: Corporate Renewable Strategy (Udemy)
Requirement Gathering,Book: Software Requirements (Wiegers); Course: Requirements Engineering (Coursera); Doc: BABOK Guide; YouTube: Bridging the Gap; Course: Business Analysis Fundamentals (Udemy)
Reservoir Engineering,Book: Applied Petroleum Reservoir Engineering; Course: Introduction to Petroleum Engineering (edX); Doc: SPE Petroleum Resources Management; YouTube: Energy 101; Course: Reservoir Simulation (Udemy)
Resource Allocation,Book: The Resource Management Handbook; Course: Project Management Specialization (Coursera); Doc: PMBOK Resource Management; YouTube: ProjectManager; Course: Strategic Resource Allocation (Udemy)
Resource Planning,Book: Operations Management (Slack); Course: Supply Chain Planning (Coursera); Doc: Investopedia - ERP Systems; YouTube: Oracle NetSuite; Course: Enterprise Resource Planning (Udemy)
Resource Recovery,Book: Resource Recovery from Waste; Course: Circular Economy (Coursera); Doc: EPA Sustainable Materials Management; YouTube: Sustainability Illustrated; Course: Waste to Energy (Udemy)
Responsive Design,Book: Responsive Web Design (Ethan Marcotte); Course: Responsive Web Design Certification (freeCodeCamp); Doc: MDN Responsive Design; YouTube: Kevin Powell; Course: Modern Web Design (Udemy)
Retail Management,Book: Retail Management (Levy & Weitz); Course: Retail Management Specialization (Coursera); Doc: National Retail Federation (NRF); YouTube: Retail Dogma; Course: The Retail Management Masterclass (Udemy)
Retail Operations,Book: The Retailer's Guide to Operations; Course: Retail Business Operations (Udemy); Doc: Retail Industry Leaders Association (RILA); YouTube: HubSpot Academy; Course: Supply Chain Operations (Coursera)
Risk Assessment,Book: The Failure of Risk Management; Course: Risk Management Specialization (Coursera); Doc: ISO 31000 Risk Management; YouTube: Risk Academy; Course: Qualitative Risk Assessment (Udemy)
Risk Auditing,Book: Risk-Based Internal Auditing; Course: Risk Management and Internal Control (Coursera); Doc: COSO Enterprise Risk Management; YouTube: Internal Audit Guy; Course: Risk Audit Procedures (Udemy)
Risk Management,Book: Against the Gods: The Remarkable Story of Risk; Course: Financial Risk Management (Coursera); Doc: NIST Risk Management Framework; YouTube: Simply Cyber; Course: The Complete Risk Management Course (Udemy)
Roadmap Planning,Book: Product Roadmaps Relaunched; Course: Product Management (Coursera); Doc: Atlassian Guide to Product Roadmaps; YouTube: Product School; Course: Agile Roadmap Planning (Udemy)
Robotics,Book: Introduction to Robotics (Craig); Course: Robotics Specialization (Coursera); Doc: IEEE Robotics and Automation Society; YouTube: The Engineering Mindset; Course: Robotics Foundation (Udemy)
Root Cause Analysis,Book: Root Cause Analysis: The Core of Problem Solving; Course: Six Sigma Problem Solving (Coursera); Doc: ASQ RCA Tools; YouTube: Gemba Academy; Course: RCA Masterclass (Udemy)
SD-WAN,Book: SD-WAN The Next Generation of WAN; Course: Cisco SD-WAN Mastery (Udemy); Doc: VMware SD-WAN by VeloCloud Docs; YouTube: NetworkChuck; Course: Enterprise Networking (Coursera)
SDLC,Book: Clean Architecture; Course: Software Development Lifecycle (Coursera); Doc: Atlassian Agile SDLC Guide; YouTube: Continuous Delivery; Course: The Complete SDLC Course (Udemy)
SQL,Book: SQL Queries for Mere Mortals; Course: SQL for Data Science (Coursera); Doc: PostgreSQL Documentation; YouTube: Programming with Mosh; Course: The Complete SQL Bootcamp (Udemy)
Safety Auditing,Book: Safety Auditing: A Management Tool; Course: Workplace Health and Safety (Coursera); Doc: OSHA Audit Guidelines; YouTube: Safety First; Course: Health and Safety Auditing (Udemy)
Safety Compliance,Book: Safety Management Systems; Course: Regulatory Compliance (Coursera); Doc: ISO 45001 Occupational Health and Safety; YouTube: Compliance Online; Course: Safety Compliance for Managers (Udemy)
Safety Inspection,Book: The Safety Inspection Handbook; Course: OSHA Compliance Training (Udemy); Doc: National Safety Council (NSC); YouTube: Health and Safety Executive (HSE); Course: Environmental Health and Safety (Coursera)
Safety Monitoring,Book: Safety Monitoring and Evaluation; Course: Occupational Safety and Health (edX); Doc: NIOSH Safety Monitoring Guides; YouTube: Safety First; Course: Industrial Safety Systems (Udemy)
Safety Protocols,Book: Safety Culture; Course: HSE Management (Udemy); Doc: WHO Safety Protocols; YouTube: Safety Training; Course: Patient Safety Specialization (Coursera)
Safety Protocols (HAZOP),Book: HAZOP and HAZAN; Course: Process Safety Management (Udemy); Doc: American Institute of Chemical Engineers (AIChE); YouTube: The Engineering Mindset; Course: Chemical Process Safety (Coursera)
Safety Regulatory Compliance,Book: Regulatory Affairs and Safety; Course: Global Safety Regulations (Coursera); Doc: EASA/FAA Safety Regulations; YouTube: Safety Culture; Course: Regulatory Compliance Management (Udemy)
Safety Standards,Book: Safety Standards in Industry; Course: Introduction to Safety Standards (Udemy); Doc: ANSI/ISO Safety Standards; YouTube: The ISO Channel; Course: Standardization for Safety (Coursera)
Safety Systems,Book: System Safety Engineering and Risk Assessment; Course: Embedded Systems Safety (Coursera); Doc: IEEE Reliability Society; YouTube: Engineering Explained; Course: Industrial Safety Systems (Udemy)
Safety Testing,Book: Safety and Reliability Testing; Course: Product Testing and Safety (Udemy); Doc: Underwriters Laboratories (UL) Standards; YouTube: Test and Measurement; Course: Quality and Safety (Coursera)
Sales Forecasting,Book: Sales Forecasting Management; Course: Business Analytics Specialization (Coursera); Doc: HubSpot Guide to Sales Forecasting; YouTube: Winning by Design; Course: The Sales Forecasting Course (Udemy)
Sales Leadership,Book: Sales Management. Simplified.; Course: Sales Strategy (Coursera); Doc: Gartner for Sales Leaders; YouTube: Sales Hacker; Course: The Sales Leadership Mastery (Udemy)
Sales Strategy,Book: Strategic Selling; Course: Art of Sales Specialization (Coursera); Doc: Salesforce Sales Strategy Blog; YouTube: The Futur; Course: Sales Strategy Masterclass (Udemy)
Saltwater Protection,Book: Corrosion of Marine Structures; Course: Marine Engineering Basics (Udemy); Doc: NACE International Corrosion Standards; YouTube: Practical Engineering; Course: Marine Technology (edX)
Scalability,Book: The Art of Scalability; Course: Cloud Computing Specialization (Coursera); Doc: AWS Scalability Whitepaper; YouTube: System Design Interview; Course: Designing Scalable Systems (Udemy)
Scalable Infrastructure,Book: Cloud Architecture Patterns; Course: Google Cloud Infrastructure (Coursera); Doc: Microsoft Azure Well-Architected Framework; YouTube: TechWorld with Nana; Course: Docker and Kubernetes (Udemy)
Scalable Learning,Book: Peak: Secrets from the Science of Expertise; Course: Learning How to Learn (Coursera); Doc: UNESCO Open Educational Resources; YouTube: Ali Abdaal; Course: Instructional Design for Scalability (Udemy)
Scale-up Operations,Book: Scaling Up (Verne Harnish); Course: Scaling Your Business (Coursera); Doc: Harvard Business Review: Scaling Operations; YouTube: Stanford eCorner; Course: Business Growth and Scaling (Udemy)
Schema Design,Book: Data Modeling Made Simple; Course: Database Management Systems (Coursera); Doc: Schema.org Official Site; YouTube: Lucidchart; Course: The Complete Database Design Course (Udemy)
Schema Mapping,Book: Principles of Data Integration; Course: Data Management with SQL (Coursera); Doc: Oracle Data Integrator Docs; YouTube: Data Engineering Academy; Course: Data Integration Masterclass (Udemy)
Scripting (Bash/PowerShell),Book: The Linux Command Line; Course: Python and Bash Scripting (Coursera); Doc: Microsoft PowerShell Documentation; YouTube: NetworkChuck; Course: Shell Scripting Masterclass (Udemy)
Secure Boot,Book: Embedded Systems Security; Course: Cybersecurity for Embedded Systems (Udemy); Doc: UEFI Specification - Secure Boot; YouTube: Low Level Learning; Course: IoT Security (Coursera)
Security Auditing,Book: Information Security Management Principles; Course: Cybersecurity Specialization (Coursera); Doc: ISACA Audit Standards; YouTube: Simply Cyber; Course: The CISA Certification Course (Udemy)
Security Integration,Book: DevSecOps: A Leader's Guide; Course: Security in Google Cloud Platform (Coursera); Doc: AWS Security Hub Documentation; YouTube: TechWorld with Nana; Course: Cybersecurity Integration (Udemy)
Seismic Risk,Book: Seismic Risk and Engineering; Course: Natural Hazards (Coursera); Doc: USGS Seismic Hazard Maps; YouTube: Practical Engineering; Course: Seismic Design for Structures (Udemy)
Semiconductor Design,Book: Digital Integrated Circuits (Rabaey); Course: VLSI Design Specialization (Coursera); Doc: IEEE Solid-State Circuits Society; YouTube: Asianometry; Course: Semiconductor Fundamentals (Udemy)
Semiconductor Fab,Book: Science and Engineering of Microelectronic Fabrication; Course: Semiconductor Manufacturing (Coursera); Doc: Intel Technology Blogs; YouTube: Science Channel; Course: Nanotechnology and Fab (edX)
Semiconductor Fabrication,Book: Fundamentals of Semiconductor Manufacturing; Course: Nano-scale Engineering (edX); Doc: GlobalFoundries Technical Resources; YouTube: Asianometry; Course: Semiconductor Processing (Udemy)
Semiconductor Physics,Book: Physics of Semiconductor Devices (Sze); Course: Solid State Physics (edX); Doc: NIST Semiconductor Physics; YouTube: Science Asylum; Course: Physics for Engineering (Coursera)
Semiconductor Tech,Book: Semiconductor Technology Handbook; Course: Semiconductor Devices (Coursera); Doc: Samsung Semiconductor Technical Blog; YouTube: TechTarget; Course: The Future of Computing (Udemy)
Sensor Calibration,Book: Measurement and Instrumentation; Course: Instrumentation and Control (Coursera); Doc: NIST Sensor Calibration Guides; YouTube: Beamex; Course: Metrology and Calibration (Udemy)
Sensor Design,Book: Sensor Design and Application; Course: Sensors and Actuators (Coursera); Doc: IEEE Sensors Council; YouTube: SparkFun; Course: Biomedical Sensor Design (Udemy)
Sensor Integration,Book: Building the Internet of Things; Course: IoT Programming with Raspberry Pi (Udemy); Doc: Arduino / Raspberry Pi Documentation; YouTube: The Engineering Mindset; Course: Embedded Sensor Integration (Coursera)
Server Monitoring,Book: The Practice of System Administration; Course: Google IT Support Professional (Coursera); Doc: Nagios / Zabbix / Datadog Documentation; YouTube: NetworkChuck; Course: Cloud Infrastructure Monitoring (Udemy)
Ship Structural Design,Book: Ship Structural Design (Owen Hughes); Course: Marine Engineering Design (Udemy); Doc: American Bureau of Shipping (ABS) Rules; YouTube: Casual Navigation; Course: Naval Architecture (edX)
Signal Integrity,Book: Signal and Power Integrity - Simplified; Course: High Speed Digital Design (Udemy); Doc: Altium Academy: Signal Integrity; YouTube: Robert Feranec; Course: Printed Circuit Board Design (Coursera)
Signal Processing,Book: Digital Signal Processing (Oppenheim); Course: Digital Signal Processing Specialization (Coursera); Doc: IEEE Signal Processing Society; YouTube: 3Blue1Brown; Course: DSP Fundamentals (Udemy)
Site Analysis,Book: Site Analysis: A Sustainable Approach; Course: Urban Planning and Design (edX); Doc: American Planning Association; YouTube: City Beautiful; Course: Architectural Site Analysis (Udemy)
Site Characterization,Book: Geotechnical Site Characterization; Course: Soil Mechanics (Coursera); Doc: EPA Site Characterization Guidance; YouTube: Practical Engineering; Course: Environmental Geotechnics (Udemy)
Site Management,Book: Construction Management Fundamentals; Course: Construction Management Specialization (Coursera); Doc: OSHA Construction Safety; YouTube: The Engineering Toolbox; Course: Project Site Management (Udemy)
Six Sigma,Book: The Six Sigma Pocket Toolbook; Course: Six Sigma Yellow Belt (Coursera); Doc: ASQ Six Sigma Resources; YouTube: Six Sigma Academy; Course: The Complete Six Sigma Green Belt (Udemy)
Smart Building Technology,Book: Smart Buildings: Control Devices and Systems; Course: Building Automation Systems (Udemy); Doc: ASHRAE Smart Grid Guides; YouTube: Smart Buildings Academy; Course: Internet of Things for Smart Buildings (Coursera)
Smart Contracts (Solidity),Book: Mastering Ethereum; Course: Blockchain Specialization (Coursera); Doc: Solidity Official Documentation; YouTube: Patrick Collins; Course: Smart Contract Development (Udemy)
Smart Grid,Book: Smart Grid: Design and Analysis; Course: Energy Innovation and the Smart Grid (Coursera); Doc: Department of Energy (DOE) Smart Grid; YouTube: Energy 101; Course: Electric Power Systems and Smart Grids (Udemy)
Software Architecture,Book: Design Patterns: Elements of Reusable Object-Oriented Software; Course: Software Design and Architecture (Coursera); Doc: The Open Group Architecture Framework (TOGAF); YouTube: Christopher Okhravi; Course: Clean Architecture Masterclass (Udemy)
Soil Conservation,Book: Soil and Water Conservation Engineering; Course: Introduction to Sustainability (Coursera); Doc: USDA Natural Resources Conservation Service; YouTube: Sustainability Illustrated; Course: Sustainable Agriculture (Udemy)
Soil Mechanics,Book: Craig's Soil Mechanics; Course: Soil Mechanics (Coursera); Course: Intro to Geotechnical Engineering (Udemy); Doc: USDA Soil Survey Manual; YouTube: Practical Engineering
Solution Architecture,Book: Fundamentals of Software Architecture; Course: AWS Solutions Architect (Udemy); Course: Software Architecture Specialization (Coursera); Doc: AWS Well-Architected Framework; YouTube: Continuous Delivery
Solution Design,Book: System Design Interview; Course: Software Design and Architecture (Coursera); Course: Mastering Solution Design (Udemy); Doc: Microsoft Azure Solution Design; YouTube: Success in Tech
Solution Integration,Book: Enterprise Integration Patterns; Course: MuleSoft Integration (Udemy); Course: Integration Architecture (Coursera); Doc: Red Hat Integration Docs; YouTube: TechWorld with Nana
Sound Engineering,Book: The Recording Engineer's Handbook; Course: Audio Engineering (Coursera); Course: Music Production (Udemy); Doc: Sound on Sound Articles; YouTube: In The Mix
Space Optimization,Book: Layout Design; Course: Industrial Engineering (Coursera); Course: Warehouse Design (Udemy); Doc: Lean Enterprise Institute; YouTube: The Logistics of Logistics
Spare Parts Management,Book: Spare Parts Inventory Management; Course: Inventory Management (Coursera); Course: Supply Chain Excellence (Udemy); Doc: ISO 55000 Standards; YouTube: Logistics Bureau
Spatial Planning,Book: The Urban Design Handbook; Course: Urban Planning (edX); Course: Spatial Data Science (Coursera); Doc: American Planning Association; YouTube: City Beautiful
Stability Analysis,Book: Control Systems Engineering; Course: Dynamic Systems and Control (Coursera); Course: Stability of Structures (Udemy); Doc: MATLAB Control System Docs; YouTube: Brian Douglas
Stakeholder Communication,Book: Crucial Conversations; Course: Stakeholder Management (Coursera); Course: Professional Communication (Udemy); Doc: PMI Project Management; YouTube: Simon Sinek
Stakeholder Management,Book: Managing Stakeholders; Course: Influencing Stakeholders (Coursera); Course: Business Communication (Udemy); Doc: Harvard Business Review; YouTube: ProjectManager
Standards Development,Book: The Standard for Program Management; Course: ISO Standards Training (Udemy); Course: Policy and Standards (Coursera); Doc: ISO.org Official Site; YouTube: The ISO Channel
Statistical Analysis,Book: Naked Statistics; Course: Statistics with R (Coursera); Course: Practical Statistics (Udemy); Doc: Statsmodels Documentation; YouTube: StatQuest
Statistical Process Control (SPC),Book: Statistical Quality Control; Course: Six Sigma and SPC (Coursera); Course: SPC Masterclass (Udemy); Doc: ASQ SPC Resources; YouTube: Gemba Academy
